"Onderwerp","Perioden","Totalen","Regio's"
"Beloning van werknemers in mln euro","2011","8853","Fryslân (PV)"
"Beloning van werknemers in mln euro","2011","9099","Groningen (PV)"
"Beloning van werknemers in mln euro","2012","323867","Nederland"
"Beloning van werknemers in mln euro","2012","6995","Drenthe (PV)"
"Beloning van werknemers in mln euro","2012","8863","Fryslân (PV)"
"Beloning van werknemers in mln euro","2012","9205","Groningen (PV)"
"Beloning van werknemers in mln euro","2013","324676","Nederland"
"Beloning van werknemers in mln euro","2013","6918","Drenthe (PV)"
"Beloning van werknemers in mln euro","2013","8718","Fryslân (PV)"
"Beloning van werknemers in mln euro","2013","9299","Groningen (PV)"
"Beloning van werknemers in mln euro","2014","328166","Nederland"
"Beloning van werknemers in mln euro","2014","7077","Drenthe (PV)"
"Beloning van werknemers in mln euro","2014","8781","Fryslân (PV)"
"Beloning van werknemers in mln euro","2014","9389","Groningen (PV)"
"Beloning van werknemers in mln euro","2015","330267","Nederland"
"Beloning van werknemers in mln euro","2015","7045","Drenthe (PV)"
"Beloning van werknemers in mln euro","2015","8789","Fryslân (PV)"
"Beloning van werknemers in mln euro","2015","9450","Groningen (PV)"
"Beloning van werknemers in mln euro","2016","340586","Nederland"
"Beloning van werknemers in mln euro","2016","7076","Drenthe (PV)"
"Beloning van werknemers in mln euro","2016","9120","Fryslân (PV)"
"Beloning van werknemers in mln euro","2016","9864","Groningen (PV)"
"Beloning van werknemers in mln euro","2017","10160","Groningen (PV)"
